n_objects,n_triangles,n_collisions,n_draw_calls,time_ns
6,72,0,6,764763
6,72,0,6,783159
6,72,0,6,759022
6,72,0,6,720605
6,72,0,6,726786
6,72,0,6,805554
6,72,0,6,780511
6,72,0,6,678955
6,72,0,6,708032
6,72,0,6,683348
6,72,0,6,686129
6,72,0,6,918328
6,72,0,6,714231
6,72,0,6,759084
6,72,0,6,733886
6,72,0,6,770538
6,72,0,6,740443
6,72,0,6,763959
6,72,0,6,759329
6,72,0,6,734955
6,72,0,6,684507
6,72,0,6,1062857
6,72,0,6,900290
6,72,0,6,711398
6,72,0,6,666429
6,72,0,6,653977
6,72,0,6,693726
6,72,0,6,920460
6,72,0,6,737131
6,72,0,6,743677
6,72,0,6,734130
6,72,0,6,730651
6,72,0,6,812034
6,72,0,6,768117
6,72,0,6,744206
6,72,0,6,726283
6,72,0,6,732129
6,72,0,6,834615
6,72,0,6,723302
6,72,0,6,700790
6,72,0,6,761000
6,72,0,6,759954
6,72,0,6,680938
6,72,0,6,687726
6,72,0,6,901014
6,72,0,6,741602
6,72,0,6,735177
6,72,0,6,820610
6,72,0,6,682704
6,72,0,6,688545
6,72,0,6,675825
6,72,0,6,750395
6,72,0,6,794584
6,72,0,6,761997
6,72,0,6,769804
6,72,0,6,839595
6,72,0,6,720285
6,72,0,6,748565
6,72,0,6,765506
6,72,0,6,1434266
6,72,0,6,790941
6,72,0,6,980189
6,72,0,6,763673
6,72,0,6,670620
6,72,0,6,660252
6,72,0,6,757071
6,72,0,6,731714
6,72,0,6,712014
6,72,0,6,750709
6,72,0,6,801336
6,72,0,6,670691
6,72,0,6,680425
6,72,0,6,1476833
6,72,0,6,708320
6,72,0,6,704293
6,72,0,6,694363
6,72,0,6,747970
6,72,0,6,734418
6,72,0,6,679117
6,72,0,6,1245797
6,72,0,6,846691
6,72,0,6,779254
6,72,0,6,701919
6,72,0,6,918782
6,72,0,6,795367
6,72,0,6,826912
6,72,0,6,664813
6,72,0,6,752183
6,72,0,6,784452
6,72,0,6,737076
6,72,0,6,736072
6,72,0,6,694923
6,72,0,6,696733
6,72,0,6,714362
6,72,0,6,717571
6,72,0,6,720471
6,72,0,6,1477626
6,72,0,6,888192
6,72,0,6,710947
6,72,0,6,697827
6,72,0,6,779119
6,72,0,6,844956
6,72,0,6,760399
6,72,0,6,734001
6,72,0,6,715672
6,72,0,6,677557
6,72,0,6,717651
6,72,0,6,681831
